"","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"689","Color","Stuart Beattie",308,92,72,568,"Kevin Grevioux",623,19059018,"Action","Caitlin Stasey","I, Frankenstein",65709,3165,"Miranda Otto",0,194,"English","Australia","PG-13",6.5e+07,2014,593,5.1,2.35,15000
"690","Color","Roman Polanski",127,130,2000,25,"Barney Clark",268,1987287,"Crime","Ian McNeice","Oliver Twist",25474,450,"Tony Noble",0,138,"English","UK","PG-13",5e+07,2005,85,6.9,2.35,0
"691","Color","Rob Bowman",196,100,38,1000,"Cary-Hiroyuki Tagawa",3000,24407944,"Action","Jennifer Garner","Elektra",71202,7048,"Goran Visnjic",0,380,"English","Canada","PG-13",4.3e+07,2005,1000,4.8,2.35,0
"692","Black and White","Frank Miller",339,102,436,6000,"Bruce Willis",23000,13750556,"Action","Joseph Gordon-Levitt","Sin City: A Dame to Kill For",111102,49433,"Eva Green",3,239,"English","USA","R",6.5e+07,2014,13000,6.5,1.85,32000
"693","Color","Sydney Pollack",96,133,521,970,"Kristin Scott Thomas",11000,31054924,"Drama","Harrison Ford","Random Hearts",17025,16710,"Bill Cobbs",1,290,"English","USA","R",6.4e+07,1999,1000,5.1,1.85,295
"694","Color","Baltasar Kormákur",361,121,175,221,"Martin Henderson",963,43247140,"Adventure","Michael Kelly","Everest",134625,2131,"Tom Goodman-Hill",0,265,"English","UK","PG-13",5.5e+07,2015,580,7.1,2.35,40000
"695","Color","Tom Tykwer",226,147,670,16,"David Calder",177,2208939,"Crime","Michael Smiley","Perfume: The Story of a Murderer",190490,253,"Simon Chandler",0,482,"English","Germany","R",5e+07,2006,27,7.5,2.35,26000
"696","Color","Jay Roach",194,94,116,481,"Josh Zuckerman",645,213079163,"Action","Verne Troyer","Austin Powers in Goldmember",162909,2725,"Robert Wagner",2,795,"English","USA","PG-13",6.3e+07,2002,522,6.2,2.35,0
"697","Color","David Bowers",138,94,42,668,"Charlize Theron",12000,19548064,"Action","Nicolas Cage","Astro Boy",25681,23365,"Dee Bradley Baker",1,77,"English","Hong Kong","PG",6.5e+07,2009,9000,6.3,2.35,0
"698","Color","Steven Spielberg",308,127,14000,191,"Ariana Richards",967,356784000,"Adventure","Wayne Knight","Jurassic Park",613473,2129,"Bob Peck",0,895,"English","USA","PG-13",6.3e+07,1993,610,8.1,1.85,19000
"699","Color","Lawrence Kasdan",40,212,759,812,"Catherine O'Hara",2000,25052000,"Adventure","Dennis Quaid","Wyatt Earp",35314,5708,"Isabella Rossellini",0,145,"English","USA","PG-13",6.3e+07,1994,925,6.6,2.35,0
"700","Color","Phillip Noyce",42,141,176,672,"Dean Jones",11000,122012710,"Action","Harrison Ford","Clear and Present Danger",69663,14178,"Raymond Cruz",1,133,"English","USA","PG-13",6.2e+07,1994,913,6.9,2.35,0
"701","Color","Daniel Lee",68,103,10,7,"Peng Lin",21,72413,"Action","Si Won Choi","Dragon Blade",11584,58,"Sung-jun Yoo",3,86,"Mandarin","China","R",6.5e+07,2015,18,6.1,2.35,0
"702","Color","Keenen Ivory Wayans",78,98,322,723,"Brittany Daniel",979,58255287,"Comedy","Chazz Palminteri","Littleman",39471,6334,"John Witherspoon",1,187,"English","USA","PG-13",6.4e+07,2006,862,4.3,1.85,0
"703","Color","Jonathan Mostow",178,116,84,563,"Thomas Kretschmann",11000,77086030,"Action","Matthew McConaughey","U-571",65297,14931,"David Keith",0,602,"English","France","PG-13",6.2e+07,2000,919,6.6,2.35,0
"704","Color","Rob Reiner",75,114,0,452,"Samantha Mathis",524,65000000,"Comedy","Shawna Waldron","The American President",43027,2668,"Wendie Malick",0,214,"English","USA","PG-13",6.2e+07,1995,517,6.8,2.35,0
"705","Color","Marco Schnabel",150,87,12,645,"Romany Malco",3000,32178777,"Comedy","Justin Timberlake","The Love Guru",43300,6658,"Verne Troyer",6,250,"English","USA","PG-13",6.2e+07,2008,966,3.8,2.35,0
"706","Color","Demian Lichtenstein",113,125,11,867,"Bokeem Woodbine",11000,15738632,"Action","Jon Lovitz","3000 Miles to Graceland",38076,14536,"Ice-T",2,399,"English","USA","R",4.2e+07,2001,904,5.9,2.35,0
"707","Color","Quentin Tarantino",596,187,16000,1000,"Jennifer Jason Leigh",46000,54116191,"Crime","Craig Stark","The Hateful Eight",272839,49912,"Zoë Bell",1,1018,"English","USA","R",4.4e+07,2015,1000,7.9,2.76,114000
"708","Color","Josh Gordon",191,93,8,970,"Amy Poehler",8000,118153533,"Comedy","Will Ferrell","Blades of Glory",129995,13232,"Jon Heder",2,246,"English","USA","PG-13",6.1e+07,2007,1000,6.3,1.85,0
"709","Color","Tim Hill",156,95,25,439,"Elizabeth Perkins",989,108012170,"Adventure","Gary Cole","Hop",24089,2558,"Chelsea Handler",0,82,"English","USA","PG",6.3e+07,2011,664,5.5,1.85,0
"710","Color","Zack Snyder",460,117,0,447,"Michael Fassbender",18000,210592590,"Action","Gerard Butler","300",607235,32360,"Vincent Regan",0,2073,"English","USA","R",6.5e+07,2006,13000,7.7,2.35,13000
"711","Color","Jay Roach",141,106,116,708,"Blythe Danner",22000,279167575,"Comedy","Robert De Niro","Meet the Fockers",211296,24938,"Teri Polo",6,428,"English","USA","PG-13",8e+07,2004,713,6.3,1.85,0
"712","Color","David Frankel",180,115,64,664,"Kathleen Turner",2000,143151473,"Comedy","Eric Dane","Marley & Me",116681,4811,"Haley Bennett",0,320,"English","USA","PG",6e+07,2008,899,7.1,2.35,11000
"713","Color","Frank Darabont",186,189,0,693,"Jeffrey DeMunn",15000,136801374,"Crime","Tom Hanks","The Green Mile",782610,17716,"Michael Jeter",0,1377,"English","USA","R",6e+07,1999,745,8.5,1.85,30000
"715","Color","Mark Dindal",161,81,10,397,"Fred Willard",925,135381507,"Adventure","Catherine O'Hara","Chicken Little",63912,2252,"Amy Sedaris",0,251,"English","USA","G",1.5e+08,2005,729,5.8,1.85,912
"716","Color","David Fincher",568,149,21000,625,"Sela Ward",835,167735396,"Crime","Patrick Fugit","Gone Girl",569841,4348,"Emily Ratajkowski",0,1127,"English","USA","R",6.1e+07,2014,812,8.1,2.35,146000
"717","Color","Doug Liman",249,119,218,73,"Josh Hamilton",13000,121468960,"Action","Matt Damon","The Bourne Identity",407601,13249,"Nicky Naudé",1,849,"English","USA","PG-13",6e+07,2002,147,7.9,2.35,0
"718","Color","Martin Campbell",137,130,258,345,"Joe Don Baker",394,106635996,"Action","Izabella Scorupco","GoldenEye",199025,1784,"Tchéky Karyo",2,416,"English","UK","PG-13",5.8e+07,1995,387,7.2,2.35,0
"719","Color","Simon West",113,116,165,475,"Timothy Hutton",577,102678089,"Drama","Daniel von Bargen","The General's Daughter",42705,2321,"Clarence Williams III",0,274,"English","USA","R",9.5e+07,1999,501,6.3,2.35,885
"720","Color","Peter Weir",213,103,608,576,"Noah Emmerich",2000,125603360,"Comedy","Natascha McElhone","The Truman Show",667983,3698,"Peter Krause",1,877,"English","USA","PG",6e+07,1998,617,8.1,1.85,18000
"721","Color","Brenda Chapman",120,99,59,145,"Aria Noelle Curzon",770,101217900,"Adventure","Martin Short","The Prince of Egypt",91093,1195,"Eden Riegel",2,353,"English","USA","PG",7e+07,1998,263,7,1.85,0
"722","Color","Steve Carr",81,92,41,522,"Lisa Edelstein",1000,104148781,"Comedy","Anjelica Huston","Daddy Day Care",49486,4050,"Jeff Garlin",1,116,"English","USA","PG",6e+07,2003,955,5.5,1.85,886
"723","Color","Baltasar Kormákur",265,109,175,459,"Patrick Fischler",18000,75573300,"Action","Denzel Washington","2 Guns",156898,20148,"Fred Ward",1,172,"English","USA","R",6.1e+07,2013,497,6.7,2.35,22000
"724","Color","Lawrence Guterman",105,87,6,405,"Elizabeth Perkins",3000,93375151,"Action","Carol Ann Susi","Cats & Dogs",46031,4171,"Miriam Margolyes",0,235,"English","USA","PG",6e+07,2001,664,5.2,1.85,0
"725","Color","F. Gary Gray",155,111,473,82,"Charlize Theron",26000,106126012,"Action","Jason Statham","The Italian Job",285623,35084,"Jimmy Shubert",6,497,"English","USA","PG-13",6e+07,2003,9000,7,2.35,0
"726","Color","Marc Lawrence",118,101,30,268,"Alicia Witt",1000,93307796,"Comedy","Dorian Missick","Two Weeks Notice",85673,2636,"Dana Ivey",2,269,"English","USA","PG-13",6e+07,2002,976,6.1,1.85,0
"727","Color","Eric Darnell",131,83,35,754,"Woody Allen",13000,90646554,"Adventure","Sylvester Stallone","Antz",124641,25788,"Anne Bancroft",0,289,"English","USA","PG",1.05e+08,1998,11000,6.6,1.85,0
"728","Color","Peter Billingsley",166,113,0,721,"Kristin Davis",4000,109176215,"Comedy","Jon Favreau","Couples Retreat",83506,8172,"Tasha Smith",6,144,"English","USA","PG-13",6e+07,2009,722,5.5,1.85,0
"729","Color","Tony Scott",60,107,12000,695,"Robert Duvall",10000,82670733,"Action","Tom Cruise","Days of Thunder",60476,14006,"Randy Quaid",0,97,"English","USA","PG-13",6e+07,1990,3000,5.9,2.35,0
"730","Color","Adam Shankman",77,94,163,2000,"Tom Welling",12000,82569532,"Adventure","Taylor Lautner","Cheaper by the Dozen 2",42737,20348,"Alyson Stoner",6,128,"English","USA","PG",6e+07,2005,3000,5.4,2.35,781
"731","Color","Wes Ball",249,132,47,240,"Lili Taylor",988,81687587,"Action","Ki Hong Lee","The Scorch Trials",138246,2517,"Rosa Salazar",0,360,"English","USA","PG-13",6.1e+07,2015,960,6.4,2.35,24000
"732","Color","Ryan Murphy",213,140,708,745,"Julia Roberts",11000,80574010,"Drama","James Franco","Eat Pray Love",63493,20440,"Billy Crudup",1,302,"English","USA","PG-13",6e+07,2010,8000,5.7,1.85,26000
"733","Color","Brett Ratner",121,125,420,627,"Don Cheadle",12000,75764085,"Comedy","Nicolas Cage","The Family Man",85844,16646,"Amber Valletta",1,322,"English","USA","PG-13",6e+07,2000,3000,6.7,2.35,0
"734","Color","Robert Schwentke",315,111,124,357,"Morgan Freeman",13000,90356857,"Action","Bruce Willis","RED",238916,24928,"Jaqueline Fleming",4,328,"English","USA","PG-13",5.8e+07,2010,11000,7.1,2.35,32000
"735","Color","Oliver Stone",171,156,0,1000,"Dennis Quaid",14000,75530832,"Drama","Al Pacino","Any Given Sunday",97047,20761,"LL Cool J",5,452,"English","USA","R",5.5e+07,1999,2000,6.8,2.35,0
"736","Color","Robert Redford",96,170,0,380,"Kristin Scott Thomas",19000,75370763,"Drama","Scarlett Johansson","The Horse Whisperer",32353,20683,"Jessalyn Gilsig",0,263,"English","USA","PG-13",6e+07,1998,1000,6.5,1.85,0
"737","Color","Michael Mann",299,120,0,680,"Jada Pinkett Smith",10000,100003492,"Crime","Tom Cruise","Collateral",293662,13581,"Debi Mazar",0,836,"English","USA","R",6.5e+07,2004,851,7.6,2.35,0
"738","Color","Chuck Russell",167,100,55,416,"Roger Rees",12000,90341670,"Action","Dwayne Johnson","The Scorpion King",102129,14611,"Bernard Hill",4,432,"English","USA","PG-13",6e+07,2002,1000,5.5,2.35,0
"739","Color","Jay Russell",125,115,13,579,"Jay Hernandez",2000,74540762,"Action","Billy Burke","Ladder 49",48753,4496,"Jacinda Barrett",2,323,"English","USA","PG-13",5.5e+07,2004,1000,6.5,1.85,0
"740","Color","Christopher McQuarrie",387,130,188,1000,"Robert Duvall",10000,80033643,"Action","Tom Cruise","Jack Reacher",226570,16385,"David Oyelowo",2,448,"English","USA","PG-13",6e+07,2012,3000,7,2.35,38000
"741","Color","Renny Harlin",199,105,212,811,"Michael Rapaport",1000,73648142,"Action","LL Cool J","Deep Blue Sea",99043,3697,"Saffron Burrows",1,643,"English","USA","R",6e+07,1999,975,5.8,2.35,0
"742","Color","Kenny Ortega",136,111,197,6,"Mekia Cox",433,71844424,"Documentary","Misha Gabriel Hamilton","This Is It",33158,679,"Judith Hill",0,223,"English","USA","PG",6e+07,2009,208,7.3,1.78,0
"743","Color","Steven Soderbergh",436,106,0,175,"Monique Gabriela Curnen",13000,75638743,"Drama","Matt Damon","Contagion",180479,13634,"Griffin Kane",4,411,"English","USA","PG-13",6e+07,2011,240,6.6,1.85,42000
"744","Color","David McNally",73,89,18,226,"Dyan Cannon",658,66734992,"Action","Estella Warren","Kangaroo Jack",23476,1233,"Bill Hunter",0,181,"English","USA","PG",6e+07,2003,257,4.4,2.35,858
"745","Black and White","Henry Selick",310,100,253,57,"Dawn French",309,75280058,"Animation","Jennifer Saunders","Coraline",143121,647,"John Hodgman",1,279,"English","USA","PG",6e+07,2009,229,7.7,1.85,10000
"746","Color","M. Night Shyamalan",323,91,0,751,"Alan Ruck",11000,64505912,"Sci-Fi","Zooey Deschanel","The Happening",163130,13654,"Kristen Connolly",0,1264,"English","USA","R",4.8e+07,2008,946,5,1.85,6000
"747","Color","Tony Scott",171,146,12000,451,"Radha Mitchell",18000,77862546,"Action","Denzel Washington","Man on Fire",266310,20454,"Giancarlo Giannini",2,690,"English","USA","R",7e+07,2004,992,7.7,2.35,14000
"748","Color","Brian Robbins",76,98,48,722,"Joel David Moore",21000,61112916,"Comedy","Robert Downey Jr.","The Shaggy Dog",14888,24664,"Kristin Davis",0,83,"English","USA","PG",5e+07,2006,936,4.4,2.35,747
"749","Color","Todd Phillips",173,101,480,767,"Carmen Electra",881,88200225,"Comedy","Snoop Dogg","Starsky & Hutch",120795,3943,"Fred Williamson",5,308,"English","USA","PG-13",6e+07,2004,869,6.1,2.35,0
"750","Color","Brian Levant",81,94,32,626,"Harvey Korman",854,60573641,"Comedy","Jim Belushi","Jingle All the Way",68406,4530,"Jake Lloyd",1,162,"English","USA","PG",6e+07,1996,628,5.4,1.85,0
"751","Color","Guillermo del Toro",242,132,0,160,"Rupert Evans",366,59035104,"Action","James Babson","Hellboy",244566,1112,"Brian Steele",1,597,"English","USA","PG-13",6.6e+07,2004,334,6.8,1.85,0
"752","Color","Steven Zaillian",110,115,234,521,"Kathleen Quinlan",3000,56702901,"Drama","Robert Duvall","A Civil Action",23302,4713,"Sydney Pollack",1,181,"English","USA","PG-13",6e+07,1998,552,6.5,2.35,1000
"753","Color","Chris Butler",328,92,28,586,"Kodi Smit-McPhee",10000,55994557,"Adventure","Anna Kendrick","ParaNorman",72287,13597,"Elaine Stritch",0,176,"English","USA","PG",6e+07,2012,884,7,2.35,12000
"754","Color","Michael Caton-Jones",83,124,105,460,"Bruce Willis",24000,54910560,"Action","J.K. Simmons","The Jackal",88225,38227,"Sophie Okonedo",0,227,"English","USA","R",6e+07,1997,13000,6.3,2.35,0
"755","Color","John Woo",196,119,610,716,"Joe Morton",834,53789313,"Action","Ivana Milicevic","Paycheck",89816,3637,"Callum Rennie",0,347,"English","USA","PG-13",6e+07,2003,780,6.3,2.35,0
"756","Color","Jon Avnet",34,124,50,672,"Stockard Channing",1000,51045801,"Drama","Joe Mantegna","Up Close & Personal",11370,3653,"Raymond Cruz",2,54,"English","USA","PG-13",6e+07,1996,944,6.1,1.85,829
"757","Color","Sam Fell",118,93,18,903,"Matthew Broderick",9000,50818750,"Adventure","Emma Watson","The Tale of Despereaux",31209,13403,"Frank Langella",0,106,"English","UK","G",6e+07,2008,2000,6.1,2.35,0
"759","Color","Kevin Donovan",81,98,11,107,"Debi Mazar",966,50189179,"Action","Romany Malco","The Tuxedo",61966,2018,"Ritchie Coster",2,207,"English","USA","PG-13",6e+07,2002,680,5.3,1.85,797
"760","Color","Geoff Murphy",47,92,14,488,"Brenda Bakke",789,50024083,"Action","Peter Greene","Under Siege 2: Dark Territory",35918,2318,"Patrick Kilpatrick",1,126,"English","USA","R",6e+07,1995,520,5.4,1.85,1000
"761","Color","Kenneth Branagh",313,105,0,288,"Nonso Anozie",539,50549107,"Action","Colm Feore","Jack Ryan: Shadow Recruit",99035,1411,"Gemma Chan",3,289,"English","USA","PG-13",6e+07,2014,394,6.2,2.35,17000
"762","Color","David O. Russell",315,124,737,14000,"Robert De Niro",34000,56443482,"Biography","Jennifer Lawrence","Joy",75329,75793,"Bradley Cooper",3,256,"English","USA","PG-13",6e+07,2015,22000,6.6,1.85,24000
"763","Color","Babak Najafi",225,99,24,864,"Radha Mitchell",18000,62401264,"Action","Gerard Butler","London Has Fallen",69484,20276,"Julian Kostov",3,323,"English","UK","R",6e+07,2016,992,5.9,2.35,28000
"764","Color","Jean-Pierre Jeunet",223,116,0,672,"Michael Wincott",1000,47748610,"Action","Gary Dourdan","Alien: Resurrection",170179,3090,"Raymond Cruz",0,656,"English","USA","R",7.5e+07,1997,720,6.3,2.35,0
"765","Color","Antoine Fuqua",198,124,845,295,"Ned Beatty",650,46975183,"Action","Tate Donovan","Shooter",256213,1640,"Louis Ferreira",0,338,"English","USA","R",6.1e+07,2007,467,7.2,2.35,0
"766","Color","Graham Annable",219,96,7,642,"Dee Bradley Baker",874,50807639,"Adventure","Isaac Hempstead Wright","The Boxtrolls",40883,3151,"Tracy Morgan",3,122,"English","USA","PG",6e+07,2014,668,6.8,1.85,11000
"767","Color","Griffin Dunne",92,104,165,944,"Dianne Wiest",1000,46611204,"Comedy","Goran Visnjic","Practical Magic",55749,4294,"Stockard Channing",1,257,"English","USA","PG-13",4.8e+07,1998,967,6.1,2.35,0
"768","Color","Phil Lord",435,100,97,2000,"Will Ferrell",11000,257756197,"Action","Morgan Freeman","The Lego Movie",246698,22128,"Alison Brie",0,471,"English","Australia","PG",6e+07,2014,8000,7.8,2.35,64000
"769","Color","John Pasquin",111,115,11,642,"Diedrich Bader",1000,48472213,"Action","Eileen Brennan","Miss Congeniality 2: Armed and Fabulous",51252,4305,"Treat Williams",2,156,"English","USA","PG-13",4.5e+07,2005,759,5,2.35,621
"770","Color","Rob Bowman",138,101,38,11000,"Gerard Butler",23000,43060566,"Action","Christian Bale","Reign of Fire",107859,53024,"Matthew McConaughey",0,569,"English","USA","PG-13",6e+07,2002,18000,6.2,2.35,0
"771","Color","Ruben Fleischer",415,113,181,300,"Brandon Molale",33000,45996718,"Action","Ryan Gosling","Gangster Squad",173530,34738,"Wade Williams",3,264,"English","USA","R",6e+07,2013,301,6.7,2.35,40000
"772","Color","Harold Ramis",170,100,11000,485,"Oliver Platt",10000,43337279,"Adventure","Olivia Wilde","Year One",76770,12258,"Xander Berkeley",2,203,"English","USA","PG-13",6e+07,2009,1000,4.9,1.85,0
"773","Color","Clint Eastwood",306,134,16000,204,"Morgan Freeman",13000,37479778,"Biography","Matt Damon","Invictus",124222,24458,"Leleti Khumalo",1,259,"English","USA","PG-13",6e+07,2009,11000,7.4,2.35,23000
"775","Color","Tony Gilroy",211,125,209,896,"Tom Wilkinson",8000,40559930,"Comedy","Julia Roberts","Duplicity",41727,10623,"Denis O'Hare",0,184,"English","USA","PG-13",6e+07,2009,1000,6.2,2.35,0
"776","Color","Donald Petrie",49,94,80,230,"Ray Walston",1000,36830057,"Comedy","Steven Anthony Lawrence","My Favorite Martian",10883,2151,"Michael Lerner",2,73,"English","USA","PG",6.5e+07,1999,417,4.9,1.85,448
"777","Color","Clark Johnson",161,107,69,206,"David Rasche",310,36279230,"Action","Blair Brown","The Sentinel",42144,1352,"Martin Donovan",0,213,"English","USA","PG-13",6e+07,2006,219,6.1,2.35,690
"778","Color","Jorge Blanco",156,91,2,480,"Gary Oldman",12000,42194060,"Adventure","Dwayne Johnson","Planet 51",41259,22668,"James Corden",1,72,"English","Spain","PG",7e+07,2009,10000,6.1,2.35,0
"779","Color","Stuart Baird",172,116,53,906,"LeVar Burton",27000,43119879,"Action","Tom Hardy","Star Trek: Nemesis",58450,31224,"Jonathan Frakes",0,842,"English","USA","PG-13",6e+07,2002,1000,6.4,2.35,0
"780","Color","Joel Coen",161,100,0,210,"Paul Adelstein",436,35096190,"Comedy","Cedric the Entertainer","Intolerable Cruelty",76560,1395,"Julia Duffy",1,322,"English","USA","PG-13",6e+07,2003,399,6.3,1.85,0
"782","Color","Martin Campbell",258,117,258,896,"Ray Winstone",2000,43290977,"Crime","Bojana Novakovic","Edge of Darkness",75201,7053,"Denis O'Hare",1,256,"English","UK","R",8e+07,2010,1000,6.6,2.35,0
"783","Color","Peter Hyams",95,110,0,308,"Penelope Ann Miller",510,33927476,"Horror","John Kapelos","The Relic",19176,1976,"Chi Muoi Lo",0,165,"English","UK","R",4e+07,1997,344,5.7,2.35,956
"784","Color","Harold Ramis",105,96,11000,236,"Cathy Moriarty",22000,32122249,"Comedy","Robert De Niro","Analyze That",69319,22889,"Joe Viterelli",1,138,"English","USA","R",6e+07,2002,394,5.9,1.85,846
"785","Color","Jon Avnet",198,101,50,1000,"Al Pacino",22000,40076438,"Action","Robert De Niro","Righteous Kill",73368,38809,"50 Cent",2,248,"English","USA","R",6e+07,2008,14000,6,2.35,0
"786","Color","Harold Becker",79,111,17,652,"Miko Hughes",13000,32940507,"Action","Bruce Willis","Mercury Rising",54314,16536,"Carrie Preston",1,127,"English","USA","R",6e+07,1998,968,6.1,2.35,0
"787","Color","Joe Wright",210,117,456,569,"Stephen Root",21000,31670931,"Biography","Robert Downey Jr.","The Soloist",44099,23745,"Rachael Harris",0,143,"English","UK","PG-13",6e+07,2009,939,6.7,2.35,0
"788","Color","Robert Redford",125,126,0,9000,"Will Smith",13000,30695227,"Drama","Matt Damon","The Legend of Bagger Vance",45296,34774,"Charlize Theron",3,267,"English","USA","PG-13",6e+07,2000,10000,6.7,1.85,0
"789","Color","Cameron Crowe",149,152,488,947,"Zooey Deschanel",22000,32522352,"Adventure","Philip Seymour Hoffman","Almost Famous",207287,36897,"Michael Angarano",1,822,"English","USA","R",6e+07,2000,11000,7.9,1.85,15000
"791","Color","Lee Tamahori",77,101,93,218,"Nona Gaye",287,26082914,"Action","Sunny Mabrey","xXx: State of the Union",51349,993,"Xzibit",2,213,"English","USA","PG-13",8.7e+07,2005,233,4.3,2.35,0
"792","Color","Scott Stewart",225,87,124,77,"Alan Dale",865,29136626,"Action","Josh Wingate","Priest",97089,1417,"Jacob Hopkins",0,233,"English","USA","PG-13",6e+07,2011,441,5.7,2.35,20000
"793","Color","Patrick Gilmore",98,85,0,82,"Adriano Giannini",11000,26288320,"Adventure","Brad Pitt","Sinbad: Legend of the Seven Seas",36144,11301,"Timothy West",0,91,"English","USA","PG",6e+07,2003,102,6.7,1.66,880
"794","Color","Paul W.S. Anderson",172,130,545,552,"Joely Richardson",722,26616590,"Horror","Sean Pertwee","Event Horizon",120416,2525,"Kathleen Quinlan",0,857,"English","UK","R",6e+07,1997,585,6.7,2.35,10000
"795","Color","Joss Whedon",703,173,0,19000,"Robert Downey Jr.",26000,623279547,"Action","Chris Hemsworth","The Avengers",995415,87697,"Scarlett Johansson",3,1722,"English","USA","PG-13",2.2e+08,2012,21000,8.1,1.85,123000
"796","Color","Tom Shadyac",117,104,293,256,"Susanna Thompson",780,30063805,"Drama","Joe Morton","Dragonfly",31788,2109,"Matt Craven",0,243,"English","USA","PG-13",6e+07,2002,265,6.1,2.35,0
"797","Color","Brian De Palma",240,121,0,854,"Mia Kirshner",19000,22518325,"Crime","Scarlett Johansson","The Black Dahlia",63363,22833,"Mike Starr",0,644,"English","Germany","R",5e+07,2006,972,5.6,2.35,0
"798","Black and White","Tony Bill",123,140,23,579,"Tyler Labine",11000,13082288,"Action","James Franco","Flyboys",35565,12634,"Philip Winchester",1,247,"English","UK","PG-13",6e+07,2006,779,6.6,2.35,2000
"799","Color","Rod Lurie",110,131,37,507,"Delroy Lindo",968,18208078,"Action","Clifton Collins Jr.","The Last Castle",57100,3012,"Michael Irby",3,281,"English","USA","R",6e+07,2001,848,6.9,2.35,0
"800","Color","Walter Hill",100,91,394,68,"Wilson Cruz",889,14218868,"Horror","Robert Forster","Supernova",14596,1262,"Vanessa Marshall",0,282,"English","USA","PG-13",6.5e+07,2000,290,4.8,2.35,589
"801","Color","Akiva Goldsman",189,118,167,778,"William Hurt",20000,22451,"Drama","Matt Bomer","Winter's Tale",41288,22447,"Kevin Corrigan",0,126,"English","USA","PG-13",6e+07,2014,882,6.2,2.35,17000
"802","Color","Harald Zwart",212,130,91,1000,"Kevin Zegers",5000,31165421,"Fantasy","Aidan Turner","The Mortal Instruments: City of Bones",107028,10247,"CCH Pounder",3,457,"English","USA","PG-13",6e+07,2013,2000,6,2.35,44000
"803","Color","Brian Robbins",127,90,48,196,"Mike O'Malley",973,11802056,"Adventure","Marc Blucas","Meet Dave",31640,1865,"Shawn Christian",1,109,"English","USA","PG",6e+07,2008,400,4.9,1.85,791
"804","Color","Walter Salles",196,103,179,87,"Camryn Manheim",794,25472967,"Drama","Dougray Scott","Dark Water",44966,1467,"Ariel Gade",2,411,"English","USA","PG-13",3e+07,2005,329,5.6,2.35,0
"805","Color","Ron Howard",115,122,2000,1000,"Adam Goldberg",11000,22362500,"Comedy","Matthew McConaughey","Edtv",35599,15275,"Clint Howard",0,195,"English","USA","PG-13",5.5e+07,1999,1000,6.1,1.85,641
"806","Color","Iain Softley",161,106,34,466,"Stephen Graham",3000,17281832,"Adventure","Brendan Fraser","Inkheart",60232,5329,"Jamie Foreman",3,110,"English","Germany","PG",6e+07,2008,1000,6.1,2.35,0
"807","Color","Frank Miller",223,103,436,437,"Jaime King",19000,19781879,"Action","Scarlett Johansson","The Spirit",53864,20881,"Louis Lombardi",1,290,"English","USA","PG-13",6e+07,2008,961,4.8,2.35,2000
"808","Color","David Koepp",181,107,192,280,"Olivia Munn",40000,7605668,"Action","Johnny Depp","Mortdecai",47320,42683,"Ulrich Thomsen",2,188,"English","UK","R",6e+07,2015,2000,5.5,2.35,12000
"809","Color","Uwe Boll",140,156,892,102,"Mike Dopud",26000,4535117,"Action","Jason Statham","In the Name of the King: A Dungeon Siege Tale",38398,26564,"Tania Saulnier",3,368,"English","Germany","PG-13",6e+07,2007,368,3.8,2.35,0
"810","Color","Martin Campbell",54,127,258,617,"Teri Polo",11000,4426297,"Adventure","Angelina Jolie Pitt","Beyond Borders",22570,12947,"Noah Emmerich",2,156,"English","USA","R",3.5e+07,2003,708,6.5,2.35,0
"812","Black and White","John Dahl",81,132,131,242,"Clayne Crawford",11000,10166502,"Action","James Franco","The Great Raid",18209,12133,"Paolo Montalban",0,183,"Filipino","USA","R",8e+07,2005,298,6.7,2.35,0
"813","Color","Tim Miller",579,108,84,361,"Ed Skrein",16000,363024263,"Action","Ryan Reynolds","Deadpool",479047,18239,"Stefan Kapicic",0,1058,"English","USA","R",5.8e+07,2016,805,8.1,2.35,117000
"814","Color","Stephen Herek",56,114,65,440,"Morgan Fairchild",743,12065985,"Comedy","Kelly Preston","Holy Man",16260,2367,"Eric McCormack",1,88,"English","USA","PG",6e+07,1998,730,4.9,2.35,296
"815","Color","Clint Eastwood",490,133,16000,318,"Leonard Roberts",14000,350123553,"Action","Bradley Cooper","American Sniper",325264,16277,"Keir O'Donnell",0,916,"English","USA","R",58800000,2014,962,7.3,2.35,112000
"816","Color","Rob Letterman",218,103,11,543,"Dylan Minnette",2000,80021740,"Adventure","Odeya Rush","Goosebumps",47968,5497,"Ken Marino",4,154,"English","USA","PG",5.8e+07,2015,1000,6.4,2.35,35000
"818","Color","Mark Waters",142,95,70,512,"Ivana Milicevic",970,48291624,"Comedy","Jon Heder","Just Like Heaven",82819,2876,"Willie Garson",1,263,"English","USA","PG-13",5.8e+07,2005,834,6.7,1.85,0
"819","Color","Brian Levant",57,90,32,809,"Mark Addy",1000,35231365,"Comedy","Taylor Negron","The Flintstones in Viva Rock Vegas",15517,6299,"Danny Woodburn",0,85,"English","USA","PG",6e+07,2000,891,3.6,1.85,500
